scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Relationship & Social,Crush Overthinking,Arjun,35,Ludhiana,Excited and overthinking,Regional Hinglish,8,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Parental Guilt Trip,Saurabh,30,Kolkata,Guilty and resentful,Casual Hinglish,12,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Post-Social Hangover,Yash,21,Indore,Drained and introspective,"70% English, 30% Hinglish",13,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Setting Boundaries,Shanaya,27,Visakhapatnam,Nervous but determined,Mostly Hinglish,15,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Roommate Conflict,Shreya,32,Kalyan-Dombivli,Passive-aggressive and annoyed,Regional Hinglish,7,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Crush Overthinking,Devika,22,Bangalore,Excited and overthinking,"90% English, 10% Hindi",8,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Toxic Relationship,Aditya,23,Kalyan-Dombivli,Confused and seeking clarity,Mostly Hinglish,14,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Reconnecting with Ex,Prateek,29,Indore,Nostalgic and tempted,"80% English, 20% Hindi",11,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Setting Boundaries,Isha,33,Kolkata,Nervous but determined,Mostly Hinglish,7,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Reconnecting with Ex,Vikram,21,Vasai-Virar,Nostalgic and tempted,50/50 Hinglish-English,14,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Situationship Confusion,Aarav,22,Thane,Confused and seeking clarity,"80% English, 20% Hindi",10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Receiving Criticism,Anjali,32,Bangalore,Defensive and hurt,Mostly Hinglish,8,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Setting Boundaries,Aditya,27,Visakhapatnam,Nervous but determined,"90% English, 10% Hindi",6,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Friendship Jealousy,Riya,25,Agra,Feeling left out,"70% English, 30% Hinglish",14,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Third-Wheeling,Anjali,34,Kolkata,Bored and slightly bitter,"80% English, 20% Hindi",12,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Friend Drama,Diya,34,Surat,Hurt and confused,100% English,12,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Receiving Criticism,Sameer,35,Vasai-Virar,Defensive and hurt,100% English,14,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Parental Guilt Trip,Isha,18,Chennai,Guilty and resentful,50/50 Hinglish-English,9,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Post-Social Hangover,Pooja,25,Ghaziabad,Drained and introspective,"80% English, 20% Hindi",11,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Crush Overthinking,Neha,35,Rajkot,Excited and overthinking,100% English,8,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Crush Overthinking,Saurabh,26,Pimpri-Chinchwad,Excited and overthinking,"90% English, 10% Hindi",15,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Receiving Criticism,Ananya,33,Pune,Defensive and hurt,Regional Hinglish,10,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Situationship Confusion,Aditi,35,Hyderabad,Confused and seeking clarity,"80% English, 20% Hindi",7,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Crush Overthinking,Pooja,33,Thane,Excited and overthinking,Mostly Hinglish,15,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Crush Overthinking,Karan,25,Delhi,Excited and overthinking,"70% English, 30% Hinglish",14,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Crush Overthinking,Shanaya,27,Nashik,Excited and overthinking,Mostly Hinglish,6,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Third-Wheeling,Rakesh,25,Vasai-Virar,Bored and slightly bitter,"60% Hinglish, 40% English",15,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Reconnecting with Ex,Dev,18,Faridabad,Nostalgic and tempted,Mostly Hinglish,9,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Post-Social Hangover,Rohit,32,Mumbai,Drained and introspective,"60% Hinglish, 40% English",7,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Friendship Jealousy,Meera,30,Patna,Feeling left out,Casual Hinglish,8,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Missing Someone,Rohit,25,Vadodara,Melancholy and reminiscent,"90% English, 10% Hindi",10,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Third-Wheeling,Riya,18,Pimpri-Chinchwad,Bored and slightly bitter,Regional Hinglish,6,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Receiving Criticism,Aarav,21,Ludhiana,Defensive and hurt,50/50 Hinglish-English,14,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Networking Event,Aarav,23,Kolkata,Intimidated and awkward,"90% English, 10% Hindi",8,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Situationship Confusion,Harsha,28,Hyderabad,Confused and seeking clarity,Mostly Hinglish,10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Social Anxiety,Priya,33,Kanpur,Dreading and nervous,"80% English, 20% Hindi",11,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Roommate Conflict,Karan,24,Nashik,Passive-aggressive and annoyed,"70% English, 30% Hinglish",12,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Social Anxiety,Isha,24,Chennai,Dreading and nervous,Hinglish-heavy,11,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Crush Overthinking,Mehak,27,Bangalore,Excited and overthinking,50/50 Hinglish-English,15,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Toxic Relationship,Zara,34,Patna,Confused and seeking clarity,"90% English, 10% Hindi",9,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Setting Boundaries,Ishaan,23,Ghaziabad,Nervous but determined,"80% English, 20% Hindi",13,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Receiving Criticism,Ayesha,31,Rajkot,Defensive and hurt,Casual Hinglish,13,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Situationship Confusion,Arjun,35,Pune,Confused and seeking clarity,50/50 Hinglish-English,13,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Missing Someone,Harsha,27,Vasai-Virar,Melancholy and reminiscent,50/50 Hinglish-English,11,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Social Anxiety,Dev,30,Pune,Dreading and nervous,"90% English, 10% Hindi",6,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Toxic Relationship,Aditya,26,Mumbai,Confused and seeking clarity,50/50 Hinglish-English,13,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Situationship Confusion,Mehak,20,Nashik,Confused and seeking clarity,"60% Hinglish, 40% English",14,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Reconnecting with Ex,Aditya,25,Mumbai,Nostalgic and tempted,"80% English, 20% Hindi",6,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Post-Social Hangover,Krishna,20,Kolkata,Drained and introspective,"70% English, 30% Hinglish",6,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Friend Drama,Priyanka,29,Kalyan-Dombivli,Hurt and confused,"70% English, 30% Hinglish",6,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Networking Event,Karan,30,Lucknow,Intimidated and awkward,Casual Hinglish,7,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Parental Guilt Trip,Tanvi,25,Agra,Guilty and resentful,50/50 Hinglish-English,7,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Post-Social Hangover,Riya,25,Kolkata,Drained and introspective,50/50 Hinglish-English,14,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Parental Guilt Trip,Aarav,31,Nagpur,Guilty and resentful,"90% English, 10% Hindi",6,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Friend Drama,Karan,33,Pimpri-Chinchwad,Hurt and confused,100% English,11,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
